scenario_id,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos,choose_v2r,router_method,router_final_uv,router_final_vm_min,router_final_deficit
fed_combined_load_1p25_line_40_MG1,0.9265486923686987,0.9265486923686987,0.0,9.0,9.0,0.0,0.9500002489665632,0.9508189848267778,0.0008187358602146,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.0500000000000005,1.0500000000000005,0.0,1.0,0.0,-1.0,4.475087324056157,4.475087324056157,0.0,6.715726086412223,6.7377898639358405,0.0220637775236172,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9508189848267778,0.0
fed_combined_load_1p25_line_41_MG1,0.9263893491450728,0.9263893491450728,0.0,9.0,9.0,0.0,0.950269656132078,0.9508342776783976,0.0005646215463195,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056162,4.475087324056155,-7.105427357601002e-15,6.708937886710513,6.732469600368134,0.0235317136576211,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9508342776783976,0.0
fed_combined_load_1p25_line_49_MG1,0.9041094536198716,0.9041094536198716,0.0,10.0,10.0,0.0,0.9460575093171256,0.950436155209552,0.0043786458924264,2.0,0.0,-2.0,0.0049767849533461,0.0,-0.0049767849533461,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056157,-5.3290705182007506e-15,6.658086297014755,6.66828073364578,0.0101944366310249,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950436155209552,0.0
fed_combined_load_1p25_line_84_MG2,0.9269180003694104,0.9269180003694104,0.0,9.0,9.0,0.0,0.9460714561279876,0.9503933915187504,0.0043219353907627,3.0,0.0,-3.0,0.0087697404769069,0.0,-0.0087697404769069,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.47508732405616,4.475087324056162,1.7763568394002505e-15,6.721576834816516,6.754449960633847,0.0328731258173311,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9503933915187504,0.0
fed_combined_load_1p25_line_85_MG2,0.9268911072204882,0.9268911072204882,0.0,9.0,9.0,0.0,0.9519999999999998,0.950611144770645,-0.0013888552293548,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.475087324056159,2.664535259100376e-15,6.744636108424172,6.768664552128143,0.0240284437039717,0.0,0.0,0.0,0.0,0.0,0.0,False,v2b,0.0,0.9519999999999998,0.0
fed_combined_load_1p25_line_86_MG2,0.926923126267576,0.926923126267576,0.0,9.0,9.0,0.0,0.9501338876262312,0.9500580547448008,-7.583288143042655e-05,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056159,4.475087324056164,5.3290705182007506e-15,6.743310213192688,6.766503728062584,0.023193514869896,0.0,0.0,0.0,0.0,0.0,0.0,False,v2b,0.0,0.9501338876262312,0.0
fed_combined_load_1p25_line_89_MG2,0.8284672890622602,0.8284672890622602,0.0,21.0,21.0,0.0,0.9399286895203656,0.950227691325557,0.0102990018051913,5.0,0.0,-5.0,0.0232289424104454,0.0,-0.0232289424104454,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056166,4.475087324056167,8.881784197001252e-16,6.219000273004828,6.20192643883666,-0.0170738341681682,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950227691325557,0.0
fed_combined_load_1p25_line_91_MG2,0.9268872488290876,0.9268872488290876,0.0,9.0,9.0,0.0,0.9481854665532256,0.950949156835248,0.0027636902820225,2.0,0.0,-2.0,0.0033183978229878,0.0,-0.0033183978229878,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056156,-6.217248937900877e-15,6.600079165047871,6.5781493431443465,-0.0219298219035248,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950949156835248,0.0
fed_combined_load_1p25_line_92_MG2,0.9268872488290876,0.9268872488290876,0.0,9.0,9.0,0.0,0.9481854665532256,0.950949156835248,0.0027636902820225,2.0,0.0,-2.0,0.0033183978229878,0.0,-0.0033183978229878,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056156,-6.217248937900877e-15,6.600079165047871,6.5781493431443465,-0.0219298219035248,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950949156835248,0.0
fed_combined_load_1p25_line_96_MG2,0.9246674596253028,0.9246674596253028,0.0,9.0,9.0,0.0,0.945346283662212,0.950156479806726,0.004810196144514,2.0,0.0,-2.0,0.0061753666856038,0.0,-0.0061753666856038,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.0499999999999998,1.05,2.220446049250313e-16,0.0,0.0,0.0,4.475087324056155,4.475087324056149,-5.3290705182007506e-15,7.675806059114038,7.695825256057947,0.0200191969439096,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950156479806726,0.0
