scenario_id,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos
fed_n1_tieline_140_MG3_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056163,4.475087324056155,-7.993605777301127e-15,3.5738913042335474,3.573902585806114,1.1281572566801401e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_165_MG1_to_MG4,0.9430000000000002,0.9430000000000002,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.47508732405616,4.475087324056156,-3.552713678800501e-15,3.57135017689033,3.571323922683706,-2.6254206624276577e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_166_MG2_to_MG4,0.9429999999999998,0.9429999999999998,0.0,3.0,3.0,0.0,0.952,0.9519999999999996,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.0500000000000005,1.0500000000000005,0.0,1.0,0.0,-1.0,4.475087324056149,4.475087324056163,1.3322676295501878e-14,3.575238001809421,3.575236508658519,-1.4931509020321698e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_167_MG2_to_MG4,0.9430000000000004,0.9430000000000004,0.0,3.0,3.0,0.0,0.9520000000000002,0.952,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056158,4.475087324056157,-8.881784197001252e-16,3.5731630175434543,3.573155858545865,-7.158997589407079e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_168_MG1_to_MG4,0.943,0.943,0.0,3.0,3.0,0.0,0.9514658419439974,0.951465841943996,-1.4432899320127035e-15,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056155,4.47508732405616,5.329070518200751e-15,3.5754786083875105,3.575470548358944,-8.06002856634791e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_170_MG1_to_MG4,0.9429999999999996,0.9429999999999996,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,,0.0,,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056152,4.475087324056158,6.217248937900877e-15,3.4725471243640587,3.472527645678546,-1.947868551255283e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_171_MG3_to_MG4,0.8859451857444657,0.8859451857444657,0.0,3.0,3.0,0.0,0.9520000000000002,0.9519999999999996,-5.551115123125783e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056152,4.475087324056157,5.329070518200751e-15,3.573269397667822,3.573266523539172,-2.8741286501876573e-06,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_172_MG3_to_MG4,0.943,0.943,0.0,2.0,2.0,0.0,0.9520000000000002,0.9519999999999998,-3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056153,4.475087324056155,1.7763568394002505e-15,3.573828756468165,3.5738105303960523,-1.8226072112437208e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_35_MG1_to_MG2,0.9429999999999996,0.9429999999999996,0.0,3.0,3.0,0.0,0.952,0.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056156,4.475087324056162,5.329070518200751e-15,3.564304307914436,3.5642706318115045,-3.367610293159018e-05,0.0,0.0,0.0,0.0,0.0,0.0
fed_n1_tieline_36_MG1_to_MG2,0.94216641532164,0.94216641532164,0.0,4.0,4.0,0.0,0.952,0.9508659182329912,-0.0011340817670087988,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056153,4.47508732405616,7.105427357601002e-15,3.572027026720796,3.572018167724068,-8.858996728200452e-06,0.0,0.0,0.0,0.0,0.0,0.0
