scenario_id,base_converged,base_vm_min_pu,final_vm_min_pu,base_vm_max_pu,final_vm_max_pu,base_n_undervoltage,final_n_undervoltage,base_n_overvoltage,final_n_overvoltage,base_n_overloaded_lines,final_n_overloaded_lines,base_n_overloaded_trafos,final_n_overloaded_trafos,base_line_loading_max_pct,final_line_loading_max_pct,base_trafo_loading_max_pct,final_trafo_loading_max_pct,base_voltage_deficit_sum_pu,final_voltage_deficit_sum_pu,base_voltage_deficit_max_pu,final_voltage_deficit_max_pu,base_voltage_deficit_sq_sum_pu,final_voltage_deficit_sq_sum_pu,improved_vm_min,reduced_undervoltage_count,reduced_voltage_deficit_sum,accepted_action_count,termination_reason,taboo_event_count,error
fed_combined_load_1p35_line_172_MG3,True,0.884434237471361,0.9500066940156792,1.0500000000000003,1.0500000000000003,15,0,0,0,0,0,0,0,4.475087324056158,4.47508732405615,9.476288226594635,9.39598375871176,0.2756558160208783,0.0,0.065565762528639,0.0,0.010227256201282097,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_35_MG1,True,0.8971887175389125,0.9500745240860532,1.05,1.05,15,0,0,0,0,0,0,0,4.55563233645664,4.4969927128661356,9.334312066620509,9.269145582830282,0.2826973109186852,0.0,0.05281128246108746,0.0,0.00995339909742045,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_36_MG1,True,0.897492755711725,0.9511100911641557,1.0500000000000003,1.05,17,0,0,0,0,0,0,0,4.564309986947734,4.507955162886898,9.33928271056444,9.27629607809001,0.3126403319010529,0.0,0.05250724428827491,0.0,0.010367423715672867,0.0,True,True,True,8,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_37_MG1,True,0.9002571281697948,0.9514001581739449,1.0500000000000003,1.05,18,0,0,0,0,0,0,0,4.8064672187853175,4.7412053871488435,9.546691704709307,9.480801644363263,0.32059632120650317,0.0,0.049742871830205204,0.0,0.010124571234624676,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_39_MG1,True,0.8975828805429477,0.9501107437579683,1.0500000000000003,1.0500000000000003,15,0,0,0,0,0,0,0,4.565532848109118,4.509661012293989,9.33975869668229,9.278330199986366,0.2872320800724387,0.0,0.0524171194570523,0.0,0.0099322624684272,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_40_MG1,True,0.8972289788680738,0.9513188908805325,1.05,1.05,16,0,0,0,0,0,0,0,4.567128636787595,4.509247376659398,9.331280825243915,9.268403217665544,0.30433726554264506,0.0,0.05277102113192611,0.0,0.010326564624367911,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_41_MG1,True,0.896919988022324,0.9506967746420547,1.05,1.0500000000000005,16,0,0,0,0,0,0,0,4.569852383167559,4.514214468127261,9.326640659795881,9.2644644961801,0.2988188707812838,0.0,0.05308001197767598,0.0,0.010337089983466843,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_49_MG1,True,0.8672168568007674,0.9500544801188661,1.05,1.0500000000000005,24,0,0,0,0,0,0,0,4.475087324056161,4.475087324056161,9.205553530555195,9.171043699477485,0.5787721202303566,0.0,0.08278314319923252,0.0,0.024334940355746952,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_84_MG2,True,0.8980466054518528,0.9500027658169814,1.0500000000000003,1.0500000000000003,15,0,0,0,0,0,0,0,4.493936812749833,4.475087324056166,9.349786923974964,9.286269328191722,0.27941225409100023,0.0,0.05195339454814718,0.0,0.009619089011495626,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_85_MG2,True,0.8979743362157987,0.950002961288813,1.0500000000000003,1.05,15,0,0,0,0,0,0,0,4.492692686166219,4.475087324056161,9.367696506981,9.304099165969278,0.27763355032790804,0.0,0.05202566378420126,0.0,0.009605841359303575,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_86_MG2,True,0.8980646357351022,0.9500046873647724,1.05,1.0499999999999998,15,0,0,0,0,0,0,0,4.47951697080675,4.47508732405615,9.361520196952707,9.298071621242084,0.2761429361551375,0.0,0.051935364264897754,0.0,0.009545741774625258,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_89_MG2,False,Power Flow nr did not converge after 50 iterations!,base_non_converged
fed_combined_load_1p35_line_91_MG2,True,0.8979605487554452,0.9500200900935083,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.680931939699211,4.619110823134927,9.182659145674055,9.120679803840646,0.3033203694635742,0.0,0.05203945124455478,0.0,0.010200224289720077,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_92_MG2,True,0.8979605487554452,0.9500200900935083,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.680931939699211,4.619110823134927,9.182659145674055,9.120679803840646,0.3033203694635742,0.0,0.05203945124455478,0.0,0.010200224289720077,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_96_MG2,True,0.8912719929426037,0.950010265080016,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.603246003453394,4.551555166303099,10.604266953864077,10.518097799298552,0.30491090064617177,0.0,0.058728007057396225,0.0,0.01234442040965757,0.0,True,True,True,5,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_97_MG2,True,0.8920163329395808,0.9500168362049726,1.0500000000000003,1.05,14,0,0,0,0,0,0,0,4.564068480009279,4.513559147116951,10.498588118732707,10.417980229528473,0.2911378931010864,0.0,0.05798366706041913,0.0,0.011855627206401872,0.0,True,True,True,5,success_all_voltages_above_vmin,0,
fed_combined_load_1p35_line_99_MG1,True,0.9018540411138667,0.9500438385407185,1.0500000000000003,1.05,16,0,0,0,0,0,0,0,4.958710828926841,4.893701416229687,9.677459496525726,9.610565787972645,0.28540098103577527,0.0,0.04814595888613327,0.0,0.008957369709260855,0.0,True,True,True,7,success_all_voltages_above_vmin,0,
